# Rime user dictionary
#@/db_name	moran
#@/db_type	userdb
#@/rime_version	1.13.1
#@/tick	2765
#@/user_id	rime-huan
ni;re ui;yu ui;yu 	你試試	c=4 d=1.22046 t=2721
ni;re vi;dd qm;qd 	你之前	c=1 d=1 t=1801
nn;xn hk;nz 	您好	c=2 d=1.10228 t=694
ns;cw wj;by 	弄完	c=0 d=0.1 t=1873
nz;kr cp;uz 	內存	c=1 d=1 t=2217
nz;kr rs;bg 	內容	c=3 d=1.87557 t=1920
nz;kr wh;sw 	內網	c=6 d=2.43082 t=1409
oc 	.	c=15 d=2.10316 t=2669
oc nf;ni ig;ti 	.嫩城	c=1 d=1 t=2670
oo;kw 	哦	c=2 d=1.02586 t=2740
pi;fb ld;ol 	批量	c=1 d=1 t=1941
pj;db dr;ja 	判斷	c=4 d=1.00448 t=2445
pk;hb ts;vt 	炮筒	c=3 d=2.49911 t=1741
pk;zb 	跑	c=4 d=1.00075 t=2250
pk;zb bu;ad lc;aa 	跑不了	c=1 d=1 t=1336
pk;zb bu;ad qi;zj ll;ad 	跑不起來	c=2 d=1.01897 t=1100
pk;zb qi;zj ll;ad 	跑起來	c=3 d=1.45073 t=569
pk;zb ts;zy 	跑通	c=2 d=1.51171 t=1742
pl;dp qm;zg 	派遣	c=1 d=1 t=397
pl;fb vk;hv 	拍照	c=6 d=1.49682 t=1220
pm;rb yi;hd ld;ol 	偏移量	c=1 d=1 t=447
pn;fb jx;fq 	拼接	c=1 d=1 t=2004
pz;yj he;rk 	配合	c=1 d=1 t=2121
pz;yj hk;nz 	配好	c=1 d=1 t=653
pz;yj tk;di 	配套	c=1 d=1 t=1517
pz;yj vi;sv 	配置	c=31 d=4.74102 t=2651
pz;yj vi;sv bc;fy 	配置表	c=1 d=1 t=1731
pz;yj vi;sv xw;ab 	配置下	c=1 d=1 t=1730
qi;ba ta;ry 	其他	c=7 d=1.13801 t=2676
qi;kw ds;lv 	啓動	c=6 d=4.72161 t=543
qi;zj 	起	c=1 d=1 t=818
qi;zj bu;ad ll;ad 	起不來	c=1 d=1 t=532
qm;vq iu;aa 	簽出	c=1 d=1 t=879
qr;mv xm;eg 	權限	c=4 d=1.74437 t=674
qr;rw kk;fg 	全靠	c=1 d=1 t=1752
